Name,Duration,Date Added,Video ID,Status,desktop_mp4 URL,desktop_webm URL,mobile_low URL,youtube URL
AZ-400T05_M1L4-AzureCLI-Jan19.mp4,,,,,,,,mxO8AhTYw0A
AZ-400T05_M1L6_AdditionalAutoTools-Jan19.mp4,,,,,,,,E68FHSRPIYo
AZ-400T05_M1L7_VersionControl-Jan19.mp4,,,,,,,,ksRY9KzdRSE
AZ-400T05-M1L1-Architecting.mp4,,,,,,,,k2xCSWUyd3A
AZ-400T05-M1L1-CAC-Jan19.mp4,,,,,,,,GDBQrqUZyAA
AZ-400T05-M1L1-IAC-Jan19.mp4,,,,,,,,rrLSsJqN1lM
AZ-400T05-M1L3-ARMTemplates-Jan19.mp4,,,,,,,,NrJCVJMiQyk
AZ-400T05-M1L5-PowerShell-Jan19.mp4,,,,,,,,UxDNKdgBPPY
